length_string	hash_name	number_strings	collision_proportion
10	SDBM	10000	0
10	SDBM	20000	0
10	SDBM	30000	0
10	SDBM	40000	0
10	SDBM	50000	0
10	SDBM	60000	0
10	SDBM	70000	1.42857e-05
10	SDBM	80000	2.5e-05
10	SDBM	90000	2.22222e-05
10	SDBM	100000	3e-05
10	SDBM	110000	2.72727e-05
10	SDBM	120000	2.5e-05
10	SDBM	130000	2.30769e-05
10	SDBM	140000	2.14286e-05
10	SDBM	150000	2e-05
10	SDBM	160000	1.875e-05
10	SDBM	170000	2.35294e-05
10	SDBM	180000	2.22222e-05
10	SDBM	190000	2.63158e-05
10	SDBM	200000	3e-05
10	SDBM	210000	2.85714e-05
10	SDBM	220000	3.18182e-05
10	SDBM	230000	3.04348e-05
10	SDBM	240000	3.33333e-05
10	SDBM	250000	3.6e-05
10	SDBM	260000	3.46154e-05
10	SDBM	270000	3.7037e-05
10	SDBM	280000	4.28571e-05
10	SDBM	290000	4.13793e-05
10	SDBM	300000	4e-05
10	SDBM	310000	3.87097e-05
10	SDBM	320000	4.375e-05
10	SDBM	330000	4.54545e-05
10	SDBM	340000	4.41176e-05
10	SDBM	350000	4.57143e-05
10	SDBM	360000	4.72222e-05
10	SDBM	370000	5.13514e-05
10	SDBM	380000	5.26316e-05
10	SDBM	390000	5.64103e-05
10	SDBM	400000	5.5e-05
10	SDBM	410000	5.60976e-05
10	SDBM	420000	5.47619e-05
10	SDBM	430000	5.34884e-05
10	SDBM	440000	5.45455e-05
10	SDBM	450000	5.33333e-05
10	SDBM	460000	5.43478e-05
10	SDBM	470000	5.53191e-05
10	SDBM	480000	6.04167e-05
10	SDBM	490000	6.32653e-05
10	SDBM	500000	6.2e-05
10	SDBM	510000	6.47059e-05
10	SDBM	520000	6.92308e-05
10	SDBM	530000	6.79245e-05
10	SDBM	540000	6.66667e-05
10	SDBM	550000	6.90909e-05
10	SDBM	560000	7.32143e-05
10	SDBM	570000	7.19298e-05
10	SDBM	580000	7.41379e-05
10	SDBM	590000	7.45763e-05
10	SDBM	600000	7.66667e-05
10	SDBM	610000	7.86885e-05
10	SDBM	620000	8.22581e-05
10	SDBM	630000	8.09524e-05
10	SDBM	640000	8.125e-05
10	SDBM	650000	8.15385e-05
10	SDBM	660000	8.63636e-05
10	SDBM	670000	8.65672e-05
10	SDBM	680000	8.82353e-05
10	SDBM	690000	9.13043e-05
10	SDBM	700000	9.28571e-05
10	SDBM	710000	9.29577e-05
10	SDBM	720000	9.44444e-05
10	SDBM	730000	9.58904e-05
10	SDBM	740000	9.59459e-05
10	SDBM	750000	9.46667e-05
10	SDBM	760000	9.73684e-05
10	SDBM	770000	9.87013e-05
10	SDBM	780000	0.0001
10	SDBM	790000	0.000102532
10	SDBM	800000	0.00010125
10	SDBM	810000	0.000104938
10	SDBM	820000	0.000104878
10	SDBM	830000	0.000109639
10	SDBM	840000	0.000110714
10	SDBM	850000	0.000110588
10	SDBM	860000	0.000111628
10	SDBM	870000	0.000114943
10	SDBM	880000	0.000114773
10	SDBM	890000	0.000117978
10	SDBM	900000	0.000116667
10	SDBM	910000	0.000118681
10	SDBM	920000	0.000121739
10	SDBM	930000	0.000122581
10	SDBM	940000	0.000126596
10	SDBM	950000	0.000128421
10	SDBM	960000	0.000128125
10	SDBM	970000	0.000128866
10	SDBM	980000	0.000131633
10	SDBM	990000	0.000133333
10	SDBM	1000000	0.000137
10	DJB	10000	0
10	DJB	20000	0
10	DJB	30000	0
10	DJB	40000	0
10	DJB	50000	2e-05
10	DJB	60000	1.66667e-05
10	DJB	70000	1.42857e-05
10	DJB	80000	1.25e-05
10	DJB	90000	1.11111e-05
10	DJB	100000	1e-05
10	DJB	110000	1.81818e-05
10	DJB	120000	1.66667e-05
10	DJB	130000	1.53846e-05
10	DJB	140000	2.14286e-05
10	DJB	150000	2.66667e-05
10	DJB	160000	2.5e-05
10	DJB	170000	2.94118e-05
10	DJB	180000	2.77778e-05
10	DJB	190000	2.63158e-05
10	DJB	200000	2.5e-05
10	DJB	210000	2.38095e-05
10	DJB	220000	2.27273e-05
10	DJB	230000	2.17391e-05
10	DJB	240000	2.5e-05
10	DJB	250000	2.8e-05
10	DJB	260000	3.84615e-05
10	DJB	270000	5.18519e-05
10	DJB	280000	5e-05
10	DJB	290000	4.82759e-05
10	DJB	300000	5e-05
10	DJB	310000	5.80645e-05
10	DJB	320000	5.9375e-05
10	DJB	330000	5.75758e-05
10	DJB	340000	6.17647e-05
10	DJB	350000	6.28571e-05
10	DJB	360000	6.38889e-05
10	DJB	370000	6.21622e-05
10	DJB	380000	6.31579e-05
10	DJB	390000	6.66667e-05
10	DJB	400000	7e-05
10	DJB	410000	7.56098e-05
10	DJB	420000	7.38095e-05
10	DJB	430000	7.2093e-05
10	DJB	440000	7.5e-05
10	DJB	450000	7.55556e-05
10	DJB	460000	7.6087e-05
10	DJB	470000	7.44681e-05
10	DJB	480000	7.5e-05
10	DJB	490000	7.7551e-05
10	DJB	500000	8e-05
10	DJB	510000	8.23529e-05
10	DJB	520000	8.26923e-05
10	DJB	530000	8.30189e-05
10	DJB	540000	8.33333e-05
10	DJB	550000	8.54545e-05
10	DJB	560000	8.57143e-05
10	DJB	570000	8.59649e-05
10	DJB	580000	8.62069e-05
10	DJB	590000	8.64407e-05
10	DJB	600000	9.16667e-05
10	DJB	610000	9.18033e-05
10	DJB	620000	9.35484e-05
10	DJB	630000	9.20635e-05
10	DJB	640000	9.21875e-05
10	DJB	650000	9.38462e-05
10	DJB	660000	9.54545e-05
10	DJB	670000	9.40299e-05
10	DJB	680000	9.55882e-05
10	DJB	690000	0.000101449
10	DJB	700000	0.0001
10	DJB	710000	0.0001
10	DJB	720000	9.86111e-05
10	DJB	730000	0.0001
10	DJB	740000	0.000104054
10	DJB	750000	0.000108
10	DJB	760000	0.000106579
10	DJB	770000	0.000106494
10	DJB	780000	0.000108974
10	DJB	790000	0.000110127
10	DJB	800000	0.0001125
10	DJB	810000	0.000112346
10	DJB	820000	0.000113415
10	DJB	830000	0.000114458
10	DJB	840000	0.000115476
10	DJB	850000	0.000115294
10	DJB	860000	0.000116279
10	DJB	870000	0.000118391
10	DJB	880000	0.000118182
10	DJB	890000	0.000119101
10	DJB	900000	0.000121111
10	DJB	910000	0.000121978
10	DJB	920000	0.000120652
10	DJB	930000	0.000119355
10	DJB	940000	0.000121277
10	DJB	950000	0.000123158
10	DJB	960000	0.000123958
10	DJB	970000	0.000123711
10	DJB	980000	0.000126531
10	DJB	990000	0.000127273
10	DJB	1000000	0.000128
10	DEK	10000	0
10	DEK	20000	0
10	DEK	30000	0
10	DEK	40000	0
10	DEK	50000	0
10	DEK	60000	0
10	DEK	70000	0
10	DEK	80000	0
10	DEK	90000	0
10	DEK	100000	0
10	DEK	110000	0
10	DEK	120000	8.33333e-06
10	DEK	130000	7.69231e-06
10	DEK	140000	7.14286e-06
